Spain, Death rates (period 1x10), 	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1910-1919       25             0.009401        0.008908        0.009167
1910-1919       26             0.009693        0.008851        0.009292
1910-1919       27             0.008994        0.008753        0.008879
1910-1919       28             0.010805        0.009771        0.010311
1910-1919       29             0.007576        0.007644        0.007609
1910-1919       30             0.013145        0.010971        0.012107
1910-1919       31             0.006324        0.006633        0.006471
1910-1919       32             0.010648        0.009873        0.010278
1910-1919       33             0.009550        0.009909        0.009722
1910-1919       34             0.010024        0.009696        0.009867
1910-1919       35             0.010819        0.010534        0.010683
1910-1919       36             0.010812        0.010298        0.010566
1910-1919       37             0.008157        0.008852        0.008489
1910-1919       38             0.011115        0.011376        0.011240
1910-1919       39             0.007333        0.008631        0.007955
1910-1919       40             0.017199        0.016534        0.016880
1910-1919       41             0.006251        0.007762        0.006975
1910-1919       42             0.011556        0.013643        0.012557
1910-1919       43             0.008202        0.010274        0.009198
1910-1919       44             0.010403        0.012803        0.011560
1910-1919       45             0.012903        0.016461        0.014622
1910-1919       46             0.010582        0.013782        0.012129
1910-1919       47             0.008602        0.012327        0.010403
1910-1919       48             0.012849        0.016891        0.014804
1910-1919       49             0.008406        0.012600        0.010432
1910-1919       50             0.023751        0.025886        0.024782
1910-1919       51             0.008165        0.012374        0.010198
1910-1919       52             0.015452        0.020839        0.018052
1910-1919       53             0.011749        0.017049        0.014300
1910-1919       54             0.016400        0.021522        0.018856
1910-1919       55             0.018728        0.024212        0.021351
1910-1919       56             0.020112        0.025461        0.022664
1910-1919       57             0.015160        0.021440        0.018145
1910-1919       58             0.022740        0.030102        0.026224
1910-1919       59             0.015338        0.023439        0.019152
1910-1919       60             0.055991        0.055309        0.055671
1910-1919       61             0.017213        0.024532        0.020654
1910-1919       62             0.033443        0.042147        0.037532
1910-1919       63             0.029403        0.039276        0.034037
1910-1919       64             0.040488        0.048633        0.044304
1910-1919       65             0.050725        0.058022        0.054145
1910-1919       66             0.047253        0.056746        0.051707
1910-1919       67             0.041647        0.052844        0.046892
1910-1919       68             0.058194        0.066969        0.062294
1910-1919       69             0.036501        0.047909        0.041838
1910-1919       70             0.150759        0.134659        0.143188
1910-1919       71             0.044508        0.055155        0.049539
1910-1919       72             0.093108        0.104932        0.098680
1910-1919       73             0.077659        0.095053        0.085824
1910-1919       74             0.104666        0.120020        0.111842
1910-1919       75             0.141555        0.152342        0.146567
1910-1919       76             0.130156        0.144870        0.136937
1910-1919       77             0.113755        0.143819        0.127450
1910-1919       78             0.172984        0.203202        0.186495
1910-1919       79             0.100729        0.132316        0.114556
1910-1919       80             0.265920        0.265838        0.265887
1910-1919       81             0.078848        0.106081        0.089857
1910-1919       82             0.153492        0.186015        0.166479
1910-1919       83             0.116490        0.157629        0.132668
1910-1919       84             0.196868        0.245205        0.215487
1910-1919       85             0.211146        0.249589        0.225630
1910-1919       86             0.208674        0.255870        0.226080
1910-1919       87             0.177018        0.235825        0.198093
1910-1919       88             0.233050        0.301720        0.256787
1910-1919       89             0.159348        0.230868        0.183095
1910-1919       90             0.429366        0.453922        0.437312
1910-1919       91             0.139265        0.175078        0.150698
1910-1919       92             0.233509        0.284352        0.249362
1910-1919       93             0.197400        0.257135        0.215408
1910-1919       94             0.244491        0.299498        0.260509
1910-1919       95             0.323642        0.351125        0.331469
1910-1919       96             0.369907        0.428066        0.386159
1910-1919       97             0.332877        0.390078        0.348315
1910-1919       98             0.507719        0.578362        0.525966
1910-1919       99             0.434244        0.526695        0.456632
1910-1919      100             0.482804        0.475126        0.481028
1910-1919      101             0.491152        0.559963        0.506730
1910-1919      102             0.519356        0.600577        0.536566
1910-1919      103             0.546564        0.659281        0.568704
1910-1919      104             0.587244        0.743762        0.615332
1910-1919      105             0.632943        0.917010        0.675062
1910-1919      106             0.695209        1.270504        0.756267
1910-1919      107             0.820997        2.574431        0.886448
1910-1919      108             1.035358        6.000000        1.057018
1910-1919      109             1.197838              .        1.197838
1910-1919      110+            2.337423              .        2.337423
1920-1929        0             0.144254        0.164159        0.154536
1920-1929        1             0.062464        0.063422        0.062954
1920-1929        2             0.031719        0.032160        0.031944
1920-1929        3             0.017336        0.017399        0.017368
1920-1929        4             0.011709        0.011533        0.011620
1920-1929        5             0.007800        0.008060        0.007932
1920-1929        6             0.006634        0.006707        0.006671
1920-1929        7             0.004522        0.004627        0.004575
1920-1929        8             0.003671        0.003808        0.003740
1920-1929        9             0.003150        0.003327        0.003239
1920-1929       10             0.003027        0.003101        0.003064
1920-1929       11             0.002898        0.002864        0.002881
1920-1929       12             0.003078        0.002925        0.003001
1920-1929       13             0.003152        0.002859        0.003006
1920-1929       14             0.003800        0.003312        0.003557
1920-1929       15             0.004038        0.003305        0.003674
1920-1929       16             0.004464        0.003910        0.004189
1920-1929       17             0.005121        0.004965        0.005044
1920-1929       18             0.005904        0.006125        0.006013
1920-1929       19             0.005328        0.005930        0.005622
1920-1929       20             0.006045        0.006153        0.006098
1920-1929       21             0.005058        0.005931        0.005481
1920-1929       22             0.006857        0.006999        0.006926
1920-1929       23             0.006445        0.007054        0.006739
1920-1929       24             0.006774        0.006918        0.006844
1920-1929       25             0.006730        0.006921        0.006822
1920-1929       26             0.006902        0.006730        0.006820
1920-1929       27             0.006592        0.006704        0.006645
1920-1929       28             0.007685        0.007163        0.007435
1920-1929       29             0.005617        0.005941        0.005772
1920-1929       30             0.009003        0.007737        0.008397
1920-1929       31             0.004687        0.005025        0.004849
