The United States of America, Death rates (period 1x10), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1933-1939        0             0.053437        0.067995        0.060850
1933-1939        1             0.008041        0.009141        0.008598
1933-1939        2             0.003700        0.004297        0.004002
1933-1939        3             0.002565        0.002986        0.002778
1933-1939        4             0.002039        0.002332        0.002188
1933-1939        5             0.001690        0.001951        0.001823
1933-1939        6             0.001483        0.001770        0.001629
1933-1939        7             0.001313        0.001621        0.001470
1933-1939        8             0.001178        0.001500        0.001342
1933-1939        9             0.001076        0.001407        0.001244
1933-1939       10             0.001009        0.001344        0.001179
1933-1939       11             0.000995        0.001335        0.001167
1933-1939       12             0.001040        0.001388        0.001216
1933-1939       13             0.001145        0.001506        0.001327
1933-1939       14             0.001308        0.001688        0.001499
1933-1939       15             0.001520        0.001925        0.001723
1933-1939       16             0.001737        0.002168        0.001953
1933-1939       17             0.001949        0.002405        0.002177
1933-1939       18             0.002154        0.002632        0.002392
1933-1939       19             0.002347        0.002844        0.002594
1933-1939       20             0.002527        0.003035        0.002779
1933-1939       21             0.002688        0.003197        0.002939
1933-1939       22             0.002828        0.003327        0.003074
1933-1939       23             0.002950        0.003429        0.003186
1933-1939       24             0.003055        0.003505        0.003277
1933-1939       25             0.003146        0.003563        0.003351
1933-1939       26             0.003230        0.003629        0.003427
1933-1939       27             0.003308        0.003710        0.003506
1933-1939       28             0.003378        0.003805        0.003588
1933-1939       29             0.003435        0.003911        0.003670
1933-1939       30             0.003487        0.004034        0.003757
1933-1939       31             0.003569        0.004192        0.003878
1933-1939       32             0.003693        0.004392        0.004040
1933-1939       33             0.003862        0.004638        0.004247
1933-1939       34             0.004080        0.004933        0.004504
1933-1939       35             0.004339        0.005268        0.004802
1933-1939       36             0.004593        0.005616        0.005104
1933-1939       37             0.004827        0.005966        0.005397
1933-1939       38             0.005036        0.006311        0.005676
1933-1939       39             0.005219        0.006654        0.005942
1933-1939       40             0.005389        0.007002        0.006203
1933-1939       41             0.005587        0.007382        0.006496
1933-1939       42             0.005834        0.007814        0.006840
1933-1939       43             0.006141        0.008310        0.007246
1933-1939       44             0.006515        0.008879        0.007723
1933-1939       45             0.006957        0.009524        0.008274
1933-1939       46             0.007458        0.010237        0.008888
1933-1939       47             0.008013        0.011014        0.009562
1933-1939       48             0.008623        0.011860        0.010298
1933-1939       49             0.009291        0.012783        0.011101
1933-1939       50             0.010012        0.013783        0.011969
1933-1939       51             0.010746        0.014810        0.012856
1933-1939       52             0.011481        0.015852        0.013751
1933-1939       53             0.012211        0.016900        0.014645
1933-1939       54             0.012926        0.017939        0.015526
1933-1939       55             0.013644        0.018984        0.016411
1933-1939       56             0.014479        0.020152        0.017414
1933-1939       57             0.015475        0.021490        0.018581
1933-1939       58             0.016661        0.023031        0.019943
1933-1939       59             0.018071        0.024813        0.021536
1933-1939       60             0.019704        0.026831        0.023358
1933-1939       61             0.021483        0.029013        0.025334
1933-1939       62             0.023393        0.031333        0.027444
1933-1939       63             0.025453        0.033812        0.029708
1933-1939       64             0.027697        0.036492        0.032164
1933-1939       65             0.030165        0.039410        0.034851
1933-1939       66             0.032854        0.042537        0.037752
1933-1939       67             0.035811        0.045915        0.040912
1933-1939       68             0.039067        0.049585        0.044364
1933-1939       69             0.042653        0.053562        0.048133
1933-1939       70             0.046609        0.057909        0.052268
1933-1939       71             0.051014        0.062778        0.056885
1933-1939       72             0.055934        0.068256        0.062060
1933-1939       73             0.061436        0.074402        0.067855
1933-1939       74             0.067585        0.081273        0.074332
1933-1939       75             0.072962        0.087294        0.079989
1933-1939       76             0.079915        0.095118        0.087329
1933-1939       77             0.087354        0.103472        0.095169
1933-1939       78             0.095432        0.112456        0.103633
1933-1939       79             0.104089        0.121902        0.112610
1933-1939       80             0.108619        0.129603        0.118442
1933-1939       81             0.118267        0.140186        0.128435
1933-1939       82             0.129036        0.152127        0.139638
1933-1939       83             0.140900        0.165327        0.151989
1933-1939       84             0.153628        0.179432        0.165197
1933-1939       85             0.166992        0.194093        0.178978
1933-1939       86             0.181236        0.209457        0.193540
1933-1939       87             0.196519        0.225641        0.209028
1933-1939       88             0.212475        0.242193        0.225044
1933-1939       89             0.228173        0.258172        0.240656
1933-1939       90             0.242471        0.272215        0.254638
1933-1939       91             0.255373        0.282956        0.266462
1933-1939       92             0.266748        0.289420        0.275713
1933-1939       93             0.275877        0.290875        0.281725
1933-1939       94             0.283176        0.291198        0.286270
1933-1939       95             0.290808        0.299330        0.294061
1933-1939       96             0.292834        0.304441        0.297208
1933-1939       97             0.287665        0.301795        0.292904
1933-1939       98             0.280608        0.293911        0.285465
1933-1939       99             0.289057        0.298533        0.292477
1933-1939      100             0.379733        0.395663        0.385406
1933-1939      101             0.396559        0.412948        0.402297
1933-1939      102             0.413837        0.430981        0.419748
1933-1939      103             0.431024        0.449576        0.437331
1933-1939      104             0.447719        0.468128        0.454559
1933-1939      105             0.465511        0.486719        0.472509
1933-1939      106             0.485444        0.507945        0.492754
1933-1939      107             0.507099        0.532550        0.515256
1933-1939      108             0.529107        0.567521        0.541123
1933-1939      109             0.551919        0.635831        0.576658
1933-1939      110+            0.637416        0.865093        0.690880
1940-1949        0             0.037260        0.047787        0.042647
1940-1949        1             0.003514        0.003983        0.003753
1940-1949        2             0.001777        0.002152        0.001967
1940-1949        3             0.001317        0.001592        0.001457
1940-1949        4             0.001063        0.001279        0.001173
1940-1949        5             0.000913        0.001150        0.001033
1940-1949        6             0.000809        0.001075        0.000944
1940-1949        7             0.000729        0.001018        0.000875
1940-1949        8             0.000663        0.000968        0.000818
1940-1949        9             0.000619        0.000926        0.000775
1940-1949       10             0.000585        0.000875        0.000732
1940-1949       11             0.000593        0.000885        0.000742
1940-1949       12             0.000633        0.000939        0.000789
1940-1949       13             0.000702        0.001033        0.000870
1940-1949       14             0.000800        0.001169        0.000987
1940-1949       15             0.000923        0.001352        0.001140
1940-1949       16             0.001046        0.001534        0.001292
1940-1949       17             0.001162        0.001712        0.001438
1940-1949       18             0.001274        0.002143        0.001681
1940-1949       19             0.001385        0.002401        0.001853
1940-1949       20             0.001495        0.002595        0.002003
1940-1949       21             0.001578        0.002713        0.002103
1940-1949       22             0.001646        0.002777        0.002170
1940-1949       23             0.001696        0.002785        0.002203
1940-1949       24             0.001730        0.002740        0.002203
1940-1949       25             0.001744        0.002653        0.002170
1940-1949       26             0.001783        0.002614        0.002174
1940-1949       27             0.001840        0.002616        0.002206
1940-1949       28             0.001913        0.002658        0.002266
1940-1949       29             0.002001        0.002734        0.002349
1940-1949       30             0.002118        0.002858        0.002472
1940-1949       31             0.002236        0.002990        0.002597
1940-1949       32             0.002363        0.003144        0.002739
1940-1949       33             0.002502        0.003320        0.002897
1940-1949       34             0.002654        0.003526        0.003076
1940-1949       35             0.002802        0.003743        0.003258
1940-1949       36             0.002971        0.003988        0.003465
1940-1949       37             0.003154        0.004264        0.003695
1940-1949       38             0.003350        0.004569        0.003946
1940-1949       39             0.003559        0.004903        0.004219
1940-1949       40             0.003803        0.005281        0.004533
1940-1949       41             0.004073        0.005707        0.004884
1940-1949       42             0.004365        0.006177        0.005267
1940-1949       43             0.004677        0.006689        0.005682
1940-1949       44             0.005009        0.007244        0.006128
1940-1949       45             0.005347        0.007832        0.006592
1940-1949       46             0.005730        0.008500        0.007120
1940-1949       47             0.006151        0.009240        0.007704
1940-1949       48             0.006621        0.010063        0.008356
1940-1949       49             0.007152        0.010986        0.009089
1940-1949       50             0.007784        0.012059        0.009951
1940-1949       51             0.008442        0.013197        0.010856
1940-1949       52             0.009124        0.014371        0.011792
1940-1949       53             0.009833        0.015593        0.012765
1940-1949       54             0.010571        0.016877        0.013782
1940-1949       55             0.011337        0.018264        0.014858
1940-1949       56             0.012183        0.019663        0.015985
1940-1949       57             0.013145        0.021174        0.017223
1940-1949       58             0.014226        0.022795        0.018576
1940-1949       59             0.015438        0.024540        0.020054
1940-1949       60             0.016683        0.026203        0.021509
1940-1949       61             0.017935        0.027884        0.022964
1940-1949       62             0.019319        0.029714        0.024554
1940-1949       63             0.020863        0.031714        0.026303
1940-1949       64             0.022592        0.033899        0.028233
1940-1949       65             0.024527        0.036328        0.030382
1940-1949       66             0.026855        0.039143        0.032927
1940-1949       67             0.029419        0.042151        0.035688
1940-1949       68             0.032265        0.045398        0.038712
1940-1949       69             0.035420        0.048889        0.042014
1940-1949       70             0.039347        0.053084        0.046066
1940-1949       71             0.043803        0.057947        0.050707
1940-1949       72             0.048595        0.063179        0.055697
1940-1949       73             0.053778        0.068856        0.061097
1940-1949       74             0.059491        0.075138        0.067056
1940-1949       75             0.065400        0.082076        0.073401
1940-1949       76             0.071163        0.088687        0.079507
1940-1949       77             0.077572        0.095982        0.086269
1940-1949       78             0.084740        0.104011        0.093770
1940-1949       79             0.092855        0.112866        0.102156
1940-1949       80             0.097130        0.120626        0.107769
1940-1949       81             0.106875        0.131377        0.117872
1940-1949       82             0.117483        0.143127        0.128884
1940-1949       83             0.129042        0.156024        0.140915
1940-1949       84             0.141204        0.169600        0.153558
1940-1949       85             0.153556        0.183184        0.166288
1940-1949       86             0.166743        0.197523        0.179801
1940-1949       87             0.181425        0.213648        0.194903
1940-1949       88             0.197856        0.231843        0.211855
1940-1949       89             0.215099        0.250987        0.229642
1940-1949       90             0.230629        0.268110        0.245551
1940-1949       91             0.243957        0.281082        0.258473
1940-1949       92             0.255530        0.289156        0.268462
1940-1949       93             0.265833        0.292459        0.275947
1940-1949       94             0.276307        0.295733        0.283631
1940-1949       95             0.289442        0.308894        0.296730
1940-1949       96             0.297057        0.318558        0.305060
1940-1949       97             0.295753        0.317659        0.303852
1940-1949       98             0.288320        0.308245        0.295645
1940-1949       99             0.291052        0.308539        0.297440
1940-1949      100             0.365323        0.383302        0.371860
1940-1949      101             0.376160        0.391090        0.381566
1940-1949      102             0.382157        0.393956        0.386410
1940-1949      103             0.384602        0.392494        0.387436
1940-1949      104             0.383035        0.387405        0.384599
1940-1949      105             0.376913        0.380004        0.378016
1940-1949      106             0.366855        0.370403        0.368118
1940-1949      107             0.349694        0.357436        0.352417
1940-1949      108             0.322122        0.338676        0.327817
1940-1949      109             0.289082        0.315803        0.298027
1940-1949      110+            0.149889        0.169498        0.155697
1950-1959        0             0.025570        0.033329        0.029519
1950-1959        1             0.001891        0.002150        0.002023
1950-1959        2             0.001065        0.001301        0.001185
1950-1959        3             0.000812        0.000979        0.000897
1950-1959        4             0.000665        0.000797        0.000732
1950-1959        5             0.000567        0.000717        0.000643
1950-1959        6             0.000495        0.000660        0.000579
1950-1959        7             0.000429        0.000600        0.000516
1950-1959        8             0.000381        0.000565        0.000474
1950-1959        9             0.000354        0.000535        0.000446
1950-1959       10             0.000334        0.000514        0.000426
1950-1959       11             0.000337        0.000531        0.000436
1950-1959       12             0.000360        0.000590        0.000477
1950-1959       13             0.000390        0.000687        0.000541
1950-1959       14             0.000439        0.000815        0.000630
1950-1959       15             0.000516        0.001020        0.000770
1950-1959       16             0.000588        0.001222        0.000908
1950-1959       17             0.000648        0.001395        0.001025
1950-1959       18             0.000698        0.001615        0.001148
1950-1959       19             0.000739        0.001763        0.001238
1950-1959       20             0.000767        0.001908        0.001314
1950-1959       21             0.000781        0.001998        0.001357
1950-1959       22             0.000819        0.002050        0.001400
1950-1959       23             0.000835        0.001983        0.001381
1950-1959       24             0.000880        0.001942        0.001389
1950-1959       25             0.000930        0.001905        0.001402
1950-1959       26             0.000952        0.001820        0.001376
1950-1959       27             0.000981        0.001780        0.001373
1950-1959       28             0.001067        0.001867        0.001458
1950-1959       29             0.001129        0.001916        0.001512
1950-1959       30             0.001186        0.001962        0.001564
1950-1959       31             0.001269        0.002023        0.001637
1950-1959       32             0.001385        0.002170        0.001767
1950-1959       33             0.001462        0.002255        0.001848
1950-1959       34             0.001557        0.002374        0.001956
1950-1959       35             0.001687        0.002555        0.002110
1950-1959       36             0.001816        0.002730        0.002262
1950-1959       37             0.001948        0.002942        0.002434
